# energy [kcal/mol] of he2
#  conf     e_total  e_nonbond   e_bonded  e_boundary      e_vdw     e_elst     e_bond    e_angle     e_tors      e_oop
  14500 -4.71589e-09 -4.716e-09  0.000e+00  0.000e+00 -4.716e-09  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
  14600 -5.10410e-09 -5.104e-09  0.000e+00  0.000e+00 -5.104e-09  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
  14700 -1.15080e-07 -1.151e-07  0.000e+00  0.000e+00 -1.151e-07  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
  14800 -7.36160e-09 -7.362e-09  0.000e+00  0.000e+00 -7.362e-09  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
  14900 -1.23293e-07 -1.233e-07  0.000e+00  0.000e+00 -1.233e-07  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
  15000 -5.15550e-07 -5.156e-07  0.000e+00  0.000e+00 -5.156e-07  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
  15100 -1.01518e-07 -1.015e-07  0.000e+00  0.000e+00 -1.015e-07  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
  15200 -2.24317e-05 -2.243e-05  0.000e+00  0.000e+00 -2.243e-05  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
  15300 -1.55824e-06 -1.558e-06  0.000e+00  0.000e+00 -1.558e-06  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
  15400 -4.00338e-07 -4.003e-07  0.000e+00  0.000e+00 -4.003e-07  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
  15500 -2.87384e-09 -2.874e-09  0.000e+00  0.000e+00 -2.874e-09  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
  15600 -6.03443e-08 -6.034e-08  0.000e+00  0.000e+00 -6.034e-08  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
  15700 -2.05867e-09 -2.059e-09  0.000e+00  0.000e+00 -2.059e-09  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
  15800 -4.63635e-08 -4.636e-08  0.000e+00  0.000e+00 -4.636e-08  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
  15900 -1.07381e-08 -1.074e-08  0.000e+00  0.000e+00 -1.074e-08  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
  16000 -4.90697e-09 -4.907e-09  0.000e+00  0.000e+00 -4.907e-09  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
  16100 -8.09862e-09 -8.099e-09  0.000e+00  0.000e+00 -8.099e-09  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
  16200 -9.57910e-09 -9.579e-09  0.000e+00  0.000e+00 -9.579e-09  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
  16300 -1.83437e-08 -1.834e-08  0.000e+00  0.000e+00 -1.834e-08  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
  16400 -2.11521e-09 -2.115e-09  0.000e+00  0.000e+00 -2.115e-09  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
  16500 -3.25067e-08 -3.251e-08  0.000e+00  0.000e+00 -3.251e-08  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
  16600 -2.37277e-07 -2.373e-07  0.000e+00  0.000e+00 -2.373e-07  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
  16700 -4.49759e-09 -4.498e-09  0.000e+00  0.000e+00 -4.498e-09  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
  16800 -4.79365e-08 -4.794e-08  0.000e+00  0.000e+00 -4.794e-08  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
  16900 -1.67568e-07 -1.676e-07  0.000e+00  0.000e+00 -1.676e-07  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
  17000 -2.03183e-06 -2.032e-06  0.000e+00  0.000e+00 -2.032e-06  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
  17100 -1.94790e-07 -1.948e-07  0.000e+00  0.000e+00 -1.948e-07  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
  17200 -4.84068e-09 -4.841e-09  0.000e+00  0.000e+00 -4.841e-09  0.000e+00  0.000e+00  0.000e+00  0.000e+00  0.000e+00
